2026-06-03 14:50:58.025 | ERROR    | src.gui.main_window:_on_error:260 | 管道错误: Unknown scheme for proxy URL URL('socks://127.0.0.1:7890/')
2026-06-03 14:51:11.105 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:51:11.105 | INFO     | src.main:main:23 | ============================================================
2026-06-03 14:51:11.105 | INFO     | src.main:main:24 | Translator InTime v0.1.0 启动
2026-06-03 14:51:11.105 | INFO     | src.main:main:25 | 实时游戏语音双向翻译系统
2026-06-03 14:51:11.105 | INFO     | src.main:main:26 | ============================================================
2026-06-03 14:51:11.329 | INFO     | src.main:main:50 | GUI 已启动
2026-06-03 14:51:13.758 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:51:13.759 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:51:13.779 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:51:13.780 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:51:13.780 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:51:13.977 | ERROR    | src.gui.main_window:_on_error:260 | 管道错误: Unknown scheme for proxy URL URL('socks://127.0.0.1:7890/')
2026-06-03 14:52:02.742 | INFO     | src.utils.logger:setup_logger:31 | 日志系统初始化完成
2026-06-03 14:52:02.742 | INFO     | src.main:main:35 | ============================================================
2026-06-03 14:52:02.742 | INFO     | src.main:main:36 | Translator InTime v0.1.0 启动
2026-06-03 14:52:02.742 | INFO     | src.main:main:37 | 实时游戏语音双向翻译系统
2026-06-03 14:52:02.742 | INFO     | src.main:main:38 | ============================================================
2026-06-03 14:52:02.998 | INFO     | src.main:main:62 | GUI 已启动
2026-06-03 14:52:04.318 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:52:04.319 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:52:04.346 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
2026-06-03 14:52:04.346 | INFO     | src.audio.virtual_device:_linux_create_mic_monitor:84 | Monitor 源自动可用: translator_virtual_sink.monitor
2026-06-03 14:52:04.347 | INFO     | src.core.asr_engine:load_model:33 | 加载 Whisper 模型: size=base, device=cpu, compute_type=int8
2026-06-03 14:52:05.609 | INFO     | src.audio.stream:find_device_by_name:44 | PortAudio 未找到 'translator_virtual_sink'，尝试 PulseAudio 设备名
2026-06-03 14:52:05.609 | INFO     | src.core.pipeline:initialize:97 | TTS输出: 虚拟设备 translator_virtual_sink
2026-06-03 14:52:05.609 | INFO     | src.core.pipeline:initialize:103 | 翻译管道初始化完成
2026-06-03 14:52:05.622 | INFO     | src.audio.stream:open_input:76 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:52:05.948 | INFO     | src.audio.stream:open_input:76 | 音频输入流已打开 (device=None, sr=16000)
2026-06-03 14:52:05.949 | INFO     | src.core.pipeline:start:133 | ✅ 双向翻译管道已启动
2026-06-03 14:52:05.949 | INFO     | src.core.pipeline:_outbound_loop:159 | 出站管道(中->外) 启动
2026-06-03 14:52:06.001 | INFO     | src.core.pipeline:_inbound_loop:230 | 入站管道(外->中) 启动
2026-06-03 14:52:09.213 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:12.460 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:15.746 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:18.989 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:22.241 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:25.559 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:28.802 | WARNING  | src.core.asr_engine:transcribe:60 | 模型未加载，无法识别
2026-06-03 14:52:29.148 | INFO     | src.core.translator:_init_client:87 | 翻译策略: microsoft (降级: google)
2026-06-03 14:52:29.148 | INFO     | src.core.pipeline:initialize:77 | 初始化翻译管道...
2026-06-03 14:52:29.156 | INFO     | src.audio.virtual_device:_linux_create_speaker:60 | 虚拟音频设备 'translator_virtual' 已存在
